preprocessed_text,sentiment_score
baguss cuma please transfer ke bank lain jangan ada admin nya dong wkwkk,-0.1779
notifikasi brimo saya mati karena pilih jadwal cronjo push notifikasi kurang tepat masa jam malam hp bunyi bikin kaget saja agar lebih bijak iya team devnya,-0.25
top lebih mudah transaksi guna brimo dan i banking safety terima kasih,0.9153
mudah hidup,0.6124
mantap keren bantu,0.9001
semua mudah dengan brimo trmakasih bri telah beri mudah utuk nasabah,0.8402
mantaappp brimo,0.0
baik,0.7184
fast and responsive even in older device without sacrificing the overall lobagus of the app everything went smooth from registration to transaction ,0.5423
bagus lah mudah dalam transaksi,0.875
sangat bantu,0.0
pilih data universitas buka tidak ada dalam list universitas apakah belum di update data ,0.0
lebih mudah dan ringan dalam aplikasi ,0.6124
aman jamin,0.7184
aplikasi bagus,0.7184
semua bagus kendali,0.7184
wow,0.7184
jumlah notifikasi kurang telah di klik tapi tidak muncul,-0.25
kenapa sekarang susah bngt log in tiap mau log in gagal terus padahal internet lancar tidak bisa digunain pas lagi dibutuhin,-0.9001
mantap josh,0.7184
tolong dong aplikasi dibenerin banyak bug masa saldo sering tidak baca,0.0
bintang,0.0
tolong dong ini aplikasi dibenerinnnnn kata bisa daftar via online tnp ke cabang apa ini apa bahkan sulit sampai g bisa narik uang di atm sampai nomer telepon email g valid akhir di bagus in tapi nunggu hari proses video lama terus ini aplikasi milik negara bahkan nol banget bukan mudah bahkan mempersulittttttt,0.6124
sangat bantu kirim cepat tidak pernah pending selalu tingkat forma mu iya,0.7184
saya verifikasi wajah sampai mulut busa selalu gagal,-0.7906
sangat praktis,0.0
sekali,0.0
sangat simple,0.0
bagus aplikasi,0.7184
capek daftar tidak bisa bisa kode yang dari nomor hp tidak bisa dari email pung tidak bisa kayak mana mau buka brimo daftar sehariang tidak bisa ngulang ngulang melulu ,-0.9001
lebih mudahh transaksi,0.0
mantap,0.7184
super app buat anak bangsa yang milik banyak fitur kembang lagi fiturnya,0.7184
mau daftar kenapa stuck di awal nunggu sms gamasuk mau kirim ulang juga gabisa pencet,-0.25
best mbanking,0.6369
bagus bagus,0.9001
baguse,0.0
kenapa susah banget loginnya hai padahal sudah reset pasword masih saja tidak bisa login sistem very bad atau bagaimana,-0.8313
awesome,0.6249
owsem,0.0
brimo supperapps baik ,0.7184
terima kasih sukseme bri,0.0
kenapa saat laku rekam video selalu gagal,-0.4588
mantulita,0.0
aplikasi nya ribet banget padahal tinggal rekam tapi selalu gagal sudah emial konsenter brimo tapi balas nya tidak sama sekali kembantu bahkan di suruh coba hari kali sedang kan saya hampir minggu coba vertifikasi tapi masih tidak bisa sudah ke cabang bahkan di suruh bikin sendiri kan gila saya bikin brimo karena atm saya hilang sedang kan saya mau bikin lagi di cabang blambangn umpu kabupaten way kanan stbagus kartu atm nya habis terimakasih,-0.6124
transaksi apa mudah dengan tampil yang fungsional,0.6124
tampil menu mudah erti,0.6124
tidak ada bonus tapi bagus,0.875
sangat muas,0.0
bagus,0.7184
apk g jelas banget asw lambat kali aneh,-0.25
saya sudah daftar brimo sampai tahap rekam video sudah ulang kali laku rekam video dan ikut semua instruksi namun tidak pernah hasil apakah rumit ini proses daftar brimo,0.0
cepat kilat tidak belibet aplikasi terima kasih alot brimo,0.7184
sudah aman lemah login susah bank paling cacat skip saja dulu gaees,-0.8402
bagus,0.7184
aman lancar mudah praktis pbagusbagusnya,0.875
bagus,0.7184
kenapa tidak bisa sudah laku sesuai dengan instruksi tapi masih tidak bisa bagaimana sih aplikasi ini,0.8402
keren keren,0.9001
layan area jakarta bagus,0.7184
sangat mudah dalam transaksi,0.6124
karena akomodasi cara seluruh,0.0
broadcast notif selalu tengah malam dan bikin kaget memang tidak ada jam lain iya wkwk aplikasi lain tidak ada yang broadcast notif jam an jadi disilent saja daripada ngagetin tiap male notifnya,0.0
sangat bantu sekali dalam proses transaksi dan saving money mudah dan efisien,0.6124
cepaaattt,0.0
sukses selalu brimoo,0.7184
sangat bantu ,0.0
cepat,0.7184
dari dulu ke iya bisa bikin e banking lewat apl maju terus deh,0.7184
bagus,0.7184
tapi user timeout nya kayak kecepetan deh iya,0.0
bagus,0.7184
cakep po,-0.5574
mntap,0.0
bagus,0.7184
sip,0.0
mantap dan terus tingkat,0.7184
bagus,0.7184
sudah di coba ulang kali hari hari tetap tidak bisa ambil rekam video untuk verifikasi diri daftar brimo sudah ke bank dekat juga tidak bisa dan aplikasi sudah di hapus download ulang juga tetap tidak bisa apakah ada solusi untuk masalah seperti ini,-0.6124
tapi daftar di website utama bri,0.0
baguse fast safe,0.5994
menu lengkap dan praktis,0.0
otp email dan sms tidak keluar saat verifikasi lupa password dari beberapa hari,-0.6124
lebih mudah untuk transaksi,0.6124
goo,0.0
sangat bantu,0.0
sangat mudah di guna da cepat,0.875
sering erorr,0.0
guna aplikasi mudah bukan nyusahin bikin rekam nyampe kali gagal melulu,-0.7906
coba tingkat untuk bayar beberapa tbaguso game iya,0.0
page bri ceria di ios masalah tampil tidak bisa full page jadi beberapa link tidak bisa ter click tolong di baik,0.7184
mantap,0.7184
