preprocessed_text,label_sentiment
baguss cuma please transfer ke bank lain jangan ada admin nya dong wkwkk,negatif
notifikasi brimo saya mati karena pilih jadwal cronjo push notifikasi kurang tepat masa jam malam hp bunyi bikin kaget saja agar lebih bijak iya team devnya,negatif
top lebih mudah transaksi guna brimo dan i banking safety terima kasih,positif
mudah hidup,positif
mantap keren bantu,positif
semua mudah dengan brimo trmakasih bri telah beri mudah utuk nasabah,positif
mantaappp brimo,netral
baik,positif
fast and responsive even in older device without sacrificing the overall lobagus of the app everything went smooth from registration to transaction ,positif
bagus lah mudah dalam transaksi,positif
sangat bantu,netral
pilih data universitas buka tidak ada dalam list universitas apakah belum di update data ,netral
lebih mudah dan ringan dalam aplikasi ,positif
aman jamin,positif
aplikasi bagus,positif
semua bagus kendali,positif
wow,positif
jumlah notifikasi kurang telah di klik tapi tidak muncul,negatif
kenapa sekarang susah bngt log in tiap mau log in gagal terus padahal internet lancar tidak bisa digunain pas lagi dibutuhin,negatif
mantap josh,positif
tolong dong aplikasi dibenerin banyak bug masa saldo sering tidak baca,netral
bintang,netral
tolong dong ini aplikasi dibenerinnnnn kata bisa daftar via online tnp ke cabang apa ini apa bahkan sulit sampai g bisa narik uang di atm sampai nomer telepon email g valid akhir di bagus in tapi nunggu hari proses video lama terus ini aplikasi milik negara bahkan nol banget bukan mudah bahkan mempersulittttttt,positif
sangat bantu kirim cepat tidak pernah pending selalu tingkat forma mu iya,positif
saya verifikasi wajah sampai mulut busa selalu gagal,negatif
sangat praktis,netral
sekali,netral
sangat simple,netral
bagus aplikasi,positif
capek daftar tidak bisa bisa kode yang dari nomor hp tidak bisa dari email pung tidak bisa kayak mana mau buka brimo daftar sehariang tidak bisa ngulang ngulang melulu ,negatif
lebih mudahh transaksi,netral
mantap,positif
super app buat anak bangsa yang milik banyak fitur kembang lagi fiturnya,positif
mau daftar kenapa stuck di awal nunggu sms gamasuk mau kirim ulang juga gabisa pencet,negatif
best mbanking,positif
bagus bagus,positif
baguse,netral
kenapa susah banget loginnya hai padahal sudah reset pasword masih saja tidak bisa login sistem very bad atau bagaimana,negatif
awesome,positif
owsem,netral
brimo supperapps baik ,positif
terima kasih sukseme bri,netral
kenapa saat laku rekam video selalu gagal,negatif
mantulita,netral
aplikasi nya ribet banget padahal tinggal rekam tapi selalu gagal sudah emial konsenter brimo tapi balas nya tidak sama sekali kembantu bahkan di suruh coba hari kali sedang kan saya hampir minggu coba vertifikasi tapi masih tidak bisa sudah ke cabang bahkan di suruh bikin sendiri kan gila saya bikin brimo karena atm saya hilang sedang kan saya mau bikin lagi di cabang blambangn umpu kabupaten way kanan stbagus kartu atm nya habis terimakasih,negatif
transaksi apa mudah dengan tampil yang fungsional,positif
tampil menu mudah erti,positif
tidak ada bonus tapi bagus,positif
sangat muas,netral
bagus,positif
apk g jelas banget asw lambat kali aneh,negatif
saya sudah daftar brimo sampai tahap rekam video sudah ulang kali laku rekam video dan ikut semua instruksi namun tidak pernah hasil apakah rumit ini proses daftar brimo,netral
cepat kilat tidak belibet aplikasi terima kasih alot brimo,positif
sudah aman lemah login susah bank paling cacat skip saja dulu gaees,negatif
bagus,positif
aman lancar mudah praktis pbagusbagusnya,positif
bagus,positif
kenapa tidak bisa sudah laku sesuai dengan instruksi tapi masih tidak bisa bagaimana sih aplikasi ini,positif
keren keren,positif
layan area jakarta bagus,positif
sangat mudah dalam transaksi,positif
karena akomodasi cara seluruh,netral
broadcast notif selalu tengah malam dan bikin kaget memang tidak ada jam lain iya wkwk aplikasi lain tidak ada yang broadcast notif jam an jadi disilent saja daripada ngagetin tiap male notifnya,netral
sangat bantu sekali dalam proses transaksi dan saving money mudah dan efisien,positif
cepaaattt,netral
sukses selalu brimoo,positif
sangat bantu ,netral
cepat,positif
dari dulu ke iya bisa bikin e banking lewat apl maju terus deh,positif
bagus,positif
tapi user timeout nya kayak kecepetan deh iya,netral
bagus,positif
cakep po,negatif
mntap,netral
bagus,positif
sip,netral
mantap dan terus tingkat,positif
bagus,positif
sudah di coba ulang kali hari hari tetap tidak bisa ambil rekam video untuk verifikasi diri daftar brimo sudah ke bank dekat juga tidak bisa dan aplikasi sudah di hapus download ulang juga tetap tidak bisa apakah ada solusi untuk masalah seperti ini,negatif
tapi daftar di website utama bri,netral
baguse fast safe,positif
menu lengkap dan praktis,netral
otp email dan sms tidak keluar saat verifikasi lupa password dari beberapa hari,negatif
lebih mudah untuk transaksi,positif
goo,netral
sangat bantu,netral
sangat mudah di guna da cepat,positif
sering erorr,netral
guna aplikasi mudah bukan nyusahin bikin rekam nyampe kali gagal melulu,negatif
coba tingkat untuk bayar beberapa tbaguso game iya,netral
page bri ceria di ios masalah tampil tidak bisa full page jadi beberapa link tidak bisa ter click tolong di baik,positif
mantap,positif
tolong dong nominal tarik tunai ny knapa tidak ada pilih yang saldo sisa mau narik tidak bisa minimal kalau mau narik mau buat kartu atm juga masa di cabang mana kosong tidak ada kartu tolong dong brimo mudah mau ambil uang jadi susah,negatif
bagus,positif
keren,positif
transaksi jadi makin mudah,positif
mau daftar susah banget gagal melulu di rekam ,negatif
bagus,positif
kenapa gagal saat proses rekam video padahal jaring sudah bagus dan sudah laku yang tentu,positif
verifikasi kyc gagal terus sudah ulang berpa kali pun sampai instal ulang juga tetep gagal,negatif
interface simple dan ringkas mudah guna,positif
tidak terima link untuk verifikasi,netral
sulit kalau tidak bisa narik coba di buatin fiturnya,negatif
terbaikk,netral
puas,positif
bri makin bagus,positif
saya sudah ganti nomor hp yang lama di atm dekat tapi kenapa saya daftar akun brimo tetap mengunakan no hp yang lama bukan sudah ganti yaa,negatif
smart,positif
sangat bantu saat transaksi,netral
lupa pin harus aktivasi ke cabang dekat coba ajar dari bank lain yang sama sama milik perintah dengan nama yang hampir sama cuma beda huruf abjad bisa baik sendiri lewat aplikasi repot,positif
dan cepat,positif
kenapa saya tidak bisa login padahal username sama password sudah benar,positif
wow,positif
brimo makin keren,positif
muas mudah,positif
so far tidak pernah ada masalah,negatif
joss wes apix,netral
jelek banget tidak ditingkatin dari dulu kata mudah guna ini mah sulit tiap registrasi gagal melulu sudah ikutin instruksi padahal tidak ada alas jelas,negatif
tahan,netral
lancar dan sangat bantu ,netral
please update for ios brizzi nfc not working,negatif
alhamdulillah sangat bantu,netral
biasa saja,negatif
sangat baik,positif
bagus,positif
keren memudahkn segalax,positif
mantap,positif
kbagus susah banget login anjing anda belum logout dengan sempurna coba login beberapa saat lagi sampai jam gitu terus jawab beberapa saat itu brapa tahun asu,negatif
sangat bantu,netral
sangat batu,negatif
saya rasa bantu dengan brimo,netral
user friendy easy to use,positif
bagus,positif
sip,netral
bagusss banget,netral
kern,netral
bagus,positif
sangat bantu dan mudah dalam transaksi,positif
bagus,positif
bagus apk nya gampang buat transaksi,positif
mksih,netral
mudah cara makenya mantap,positif
kasih foto profil mamang developer,netral
bagus,positif
banyak ganggu,negatif
aplikasi tidak jelas susah amat mau cek saldo mau pakai kartu atm saja sekarang eh bahkan tidak ada produksi lagi ktanya males banget suka emosi saya brimo ini,positif
tengah malam gabisa guna,netral
bri ini sedang taruh security system nya banyak sekali orang gampang kena skming uang nasabah di brimo pada kurang sendiri hilang ds bri itu bukan bank kemarin sore baik sistem aman nya,positif
brimo goblbagus,netral
bagus,positif
bagus,positif
limit terus,netral
sangat ber guna,netral
mudahmudahan aman,positif
ribet lebih baik tidak jelas sudah daftar selalu error tidak guna,positif
ini bagaimana pula tidak bisa login aneh parah deh,negatif
daftar brimo saja susah benar gagal di rekam terus tolong bikin simple saja semua rulesnya juga sudah diikutin masih tetap tidak bisa mobile bangking bank lain simple simple saja asa emang bri saja paling ribet,negatif
nan,netral
mantapsss,netral
masa foto ktp gagal tidak sesuai nama dan identitas pada saat ktp dan data sudah sesuai eh bahkan susah di bagi rekam video sampai sudah isi paket data isi pulsa telepon call centernya tapi bahkan tidak jadi bahkan signature failed melulu dasar aplikasi perban tergoblbagus,negatif
mumudahkan,netral
kenapa saya mau daftar brimo tidak bisa iya pas rekam vidio error terus ini kenapa sih,negatif
selamat malam bapak ibu saya ingin tanya kenapa saldo di brimo saya tiba tiba kosong harap ikan informasi yang jelas bapak ibu terimakasih brimo,positif
mudah banget dalam segala hal,positif
tolong baik,positif
sering eror kalau jelang tengah malam,netral
kenapa iya gabisa topup shopeepay kiat jam malam,netral
appreciated the fast transactions,positif
gilak memang gagal ros verifikasi wajah di tempat terang pun mas gagal,negatif
